Date,RMSE_Base,RMSE_Shaded,MAE_Base,MAE_Shaded,MBE_Base,MBE_Shaded,R2_Base,R2_Shaded,Real_Wh,Base_Wh,Shaded_Wh,N_daytime
2021-05-01,804.193878501563,551.7941420745507,596.4499133679682,367.3458590231333,461.6867035026917,85.80550420131944,0.0952142295405729,0.574030595060485,13079.77,19937.66384325072,14356.67267892159,178
2021-05-02,703.0615670765159,466.8460427674533,493.5547920712567,279.36862815593486,323.40777629368796,-72.08916138030935,0.31712097180688315,0.6989043900828547,13706.329999999998,18629.226271690728,12612.414830985837,182
2021-05-03,726.227187094339,540.8846501361651,490.1311206847028,323.55928606312193,374.8609056827673,78.05459439639772,0.0035491748308085214,0.4472609112668602,13575.330000000002,19342.497729762654,14782.186532616095,184
2021-05-04,459.83103167352965,365.2919334310212,313.1902762113222,262.7507518187714,155.13002730646397,-129.5987082730533,0.5947172915669495,0.7442346626744027,13853.670000000002,16246.17787813671,11874.472894572933,184
2021-05-05,529.2722333396036,265.84936333527924,400.80141647837723,180.87439870367007,343.93439331158027,-52.03929777126927,-0.3135673794845344,0.6685901724619807,10106.91,15347.469906060152,9320.176192232408,182
2021-05-06,216.07916871731229,292.74312816960366,174.44165223334915,235.32820294953598,-38.03065303602248,-189.6893133387662,0.6779629392278856,0.4089101907300112,6541.219999999999,6278.766655600008,4284.422091395617,151
2021-05-07,432.9095364092134,280.4724477282337,333.8332613235013,234.9543559012651,293.52330903052706,128.51728941251605,-4.993640526432266,-1.5158039571444517,2489.04,6892.00195390356,4660.159055725408,134
2021-05-08,492.32569310755434,434.39447059507745,328.1620018878999,290.93602368461546,163.4971687972079,-143.20495671632452,0.257034567885545,0.4215948078112335,12301.49,14869.763032188166,10058.019107863905,188
2021-05-09,909.9188812733615,731.8673680468833,673.1725980067439,471.2010250952498,560.2781923143192,185.44507996693775,-0.8710109017993803,-0.2104189974372721,12180.63,20740.660722458688,15006.954735212832,183
2021-05-10,116.22063880121296,125.85844737864069,73.91240336178618,98.05100533985713,3.0167631926260583,-76.02654754632736,0.41790534121706024,0.31735983490054764,2993.0399999999995,3107.4104929022164,2107.571312110344,146
2021-05-11,470.18339515314346,293.5195167521835,357.6982837113196,207.72419751658998,286.63842349950266,-10.170282831119273,0.42951016795964736,0.7776755121952041,12315.070000000002,16869.219115434535,12162.33599655773,190
2021-05-12,535.4925216458165,286.44311054664007,391.68124644048527,183.47362557841714,380.2667302682552,33.20429215748649,0.6142575085528152,0.8896258369798616,15376.130000000001,21408.44524981565,15899.130444865423,190
2021-05-13,465.4108620225812,236.90050651474544,346.5871469438383,156.2079826816643,339.8848617153006,16.965892305128587,0.5970813324643895,0.8956058078504695,14202.05,19709.702400627284,14477.117821260534,194
2021-05-14,535.1628907863865,414.1962708617391,392.8236684222844,259.7358591461399,245.91979363500727,-55.09430900003962,0.46130522699091137,0.6773117524035291,14579.82,18538.421853098887,13694.033380536983,193
2021-05-15,634.1976421830103,548.2330546265493,483.9237764928998,373.1449151674697,168.4351785887772,-160.55582454160913,0.22854733901049074,0.4235117378297859,13202.78,15693.270804678268,10855.672228778745,176
2021-05-16,589.7038482967229,538.1155987427712,401.4539215109409,347.31737692818234,73.27746862614786,-132.6936521845232,0.16934630960194286,0.3083231538657123,10624.120000000003,11852.413659158578,8591.3115349615,188
2021-05-17,567.3521687604461,431.21617454673986,418.55073910466933,265.5349588516934,272.2428579272688,-68.08187765991335,0.48227668594012474,0.7009234454225082,15486.799999999997,19922.583627217493,14380.42708495253,195
2021-05-18,325.21762686219233,359.18130450105105,232.72606175850538,257.50427257674244,-106.87343099773813,-208.6346683894186,0.1213731830771052,-0.07172595467687026,6731.610000000001,5114.0753647603615,3493.011118649558,188
2021-05-19,584.4751681834888,505.27883668842946,397.28023031902103,305.63902319967605,135.45356055711795,-93.2623103836988,0.2822411208827523,0.46357543044383964,13155.949999999999,15271.347853298206,11719.276661188971,186
2021-05-20,103.33513405814853,111.38516130073087,78.42521793496176,89.2797365462359,6.64070158788032,-70.57072232885778,0.05639160511740149,-0.09635312219203862,3140.9400000000005,3280.2927591932335,2239.7038486874994,158
2021-05-21,195.25626382379917,212.14712800802658,138.33430015832812,159.4989429974752,-36.20173445229259,-123.46381202978512,0.09887815649656795,-0.06377034919982316,4590.85,4091.6308942046026,2788.3621982698323,177
2021-05-22,239.6122079137135,250.76870549677534,165.65117820447648,167.65109346214226,9.095917375358068,-145.994545075366,0.33390292634039365,0.27043108790688586,7164.360000000001,7321.261659498491,4719.884531742253,201
2021-05-23,500.134605895627,499.4853891157453,318.8491089756546,315.1637014093014,44.67383126307812,-157.8369299695566,0.688278615710843,0.6890873715986365,16517.19,17233.084891765906,14034.201627964056,189
2021-05-24,172.57236764925457,197.77068959809262,125.06550545039748,140.70639796426056,-26.90842182232435,-127.55449012729692,0.44076211216426253,0.2655234618739556,5284.75,4925.613970381921,3358.650721705874,184
2021-05-25,488.62661726867447,503.6072670724008,288.7533920328363,299.5136543284468,-20.380405211801392,-218.77830878362695,0.18804737197951005,0.13749737246154337,10354.8,10042.760777719945,6756.042549404136,198
2021-05-26,559.8082373776406,492.06224983164844,350.2641972209852,332.42478193910625,91.6814176482455,-86.04759764226635,-0.6444889090044592,-0.2705520915180546,9411.83,10861.64429205501,8060.585170756732,188
2021-05-27,332.1218024021904,358.3210974663983,212.38686953613666,236.28950681350412,-41.784506676717335,-181.21500979668852,0.41559819662617126,0.3197609894897192,7994.849999999999,7347.79859504462,5156.196815263991,188
2021-05-28,609.0447313855469,540.4727539997708,383.80800444194387,318.16200997430303,129.03985561746117,-59.24911253193791,0.5060814491674741,0.6110403349343383,13200.519999999999,15331.860046525082,12232.871190469672,197
2021-05-29,746.4024969626845,578.1248939541717,541.3001386269822,364.45905919003167,407.59321841921764,128.30766951232815,0.25388314134586965,0.552385623563362,16349.040000000003,23254.94353099604,18517.31161993268,203
2021-05-30,480.35784706907134,221.50223013767695,343.9589146104315,136.6857471156125,336.514534615267,19.506264230074514,0.7698906280592075,0.9510716315641493,19366.35,25129.94934197885,19698.133582693255,205
2021-05-31,412.4694431369915,369.5338625289799,247.7635609284161,234.21463919513621,68.287408126671,-88.99926812118808,0.28135655844189544,0.4231825520468442,8636.64,9830.857024108369,7109.945135495237,207
2021-06-01,523.7308197136664,350.1868374608532,359.5737544322013,192.31678604837074,333.1138193580812,43.004015629344124,0.6785117313777719,0.8562696433067827,18135.280000000002,23838.008818339724,18867.60829489765,205
2021-06-02,533.7396137195436,402.6030011292319,374.92441956427086,221.9286145930637,190.43788853000083,-111.81463109144588,0.6921762934885598,0.8248552171966184,18887.35,22090.479079157947,17010.31853132867,201
2021-06-03,405.63533772791743,306.45592966635115,316.3280247811607,189.3587201420352,202.83392368308307,-67.6060289490542,0.7825396193433019,0.8758791796995927,16699.289999999997,20226.478261635806,15529.504964475951,208
2021-06-04,440.01795179301865,195.61813398015707,315.0638573349626,125.8656666774816,308.33125460830206,18.245655633860753,0.7725888916372311,0.9550542006934323,18000.479999999996,23206.025967387643,18303.95308149663,202
2021-06-05,744.6075950444801,710.0166243698797,559.1911635796849,418.5682642618619,13.577249633509759,-289.66814691401953,0.268211937747419,0.33462354034541875,17092.16,17340.14663240073,12142.083396881619,205
2021-06-06,599.7847246254006,443.27729062979785,442.43339611484197,243.75888164364997,430.4455672482783,162.02941268585118,0.4883684061061322,0.7205413746559779,15352.460000000001,21994.474778752527,17848.85661936595,185
2021-06-07,410.3941276259765,205.9049184390306,292.11238990033667,143.6186976407265,246.72503330109248,-29.543809184498016,0.8060543186750637,0.9511784819406955,19091.760000000002,23449.181275240997,18567.338331285995,212
2021-06-08,514.8687420442741,353.53613971023594,374.8158104941854,225.83391701861686,244.78478216803902,-59.68102832311253,0.6862829986850006,0.8520848584719991,17678.059999999998,22029.071297845097,16617.17332187626,213
